,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20
BrgPRP,0.40931505747385233,0.5944567859470397,0.9517171706080667,0.9625576849590426,0.9667396194072447,0.9699148330434909,0.9895267963373214,0.9895647883009474,0.9938528337690465,1.011316711925809,1.012592363989652,1.0237252544322923,1.0237844117197017,1.0238465960334475,1.0249376955481702,1.0249380411329432,1.0249651980501557,1.0249802432189108,1.0249875281850456,1.0249999999999995
Th,0.9241971308703126,0.9418992897104231,0.9484752563768959,0.94897891142607,0.9550323345029583,0.9613544139556959,1.001726866956374,1.0182772353552543,1.0197214201858051,1.0206101700932397,1.021370971628818,1.0215065529732876,1.0218206094796256,1.021920977021542,1.0224008094990507,1.022402288577141,1.0224157732650965,1.0246114158171935,1.0246825421131358,1.025
ThMV,0.2840763369231846,0.4860550049373078,0.9091314079412405,0.9130600743038657,0.9212330514913322,0.9392176978999244,0.9783941693151206,1.0164153216869058,1.016613384751454,1.0203737953958554,1.0204899207359204,1.0221281380289022,1.0229482618352492,1.0229507692695774,1.0241629849314005,1.0243072489594856,1.0244406171034135,1.0249513493206248,1.0249845278865433,1.0249999999999995
Drg,0.8792572714434896,0.8946089488712964,0.9974696109685387,0.9976587809739632,1.0032514788344689,1.0038219243904933,1.0058129571256227,1.0059303519617746,1.0065369092781349,1.0067540200360792,1.0109118506884078,1.0110479995448418,1.0153111971249607,1.0191378411436982,1.0242507749252148,1.0242508330070563,1.0242710392882102,1.0242710414211273,1.0248105622738246,1.025
Frd,0.7996651069837956,0.9295506257381171,0.929886257590599,0.9378086768422067,0.9378232579890605,0.9580578058936404,1.0069879599975184,1.006993415374472,1.014094150797861,1.0193820847510637,1.0200546907676102,1.0200904719210384,1.0210023746278905,1.0221995980258802,1.0221999124063301,1.0225077393198365,1.0243019696530689,1.0243098729073954,1.0249982459324667,1.0249999999999997
Crp,0.16053629295353794,0.31999363857168384,0.32062542638689606,0.835390261810742,0.9051264721680756,1.0001553105174492,1.0011149651398719,1.0047229037306518,1.0229342850508054,1.023279307997794,1.023937688864111,1.0240316066899562,1.0244197782018982,1.024709044180389,1.0247094279708002,1.0247324370505815,1.0248041076285512,1.0248330093553142,1.0249949713705386,1.0250000000000017
Br,0.2050710279724614,0.42220610521223967,0.5236709172141477,0.6480429273729984,0.9610707566641783,0.9770745539862797,1.0097728161820372,1.0118963169694772,1.0182335016231907,1.0200407023436673,1.020333898932304,1.024013789619838,1.0245901517321916,1.0247221263981838,1.0247221335095722,1.0248591893035544,1.0249647184648845,1.0249656980405026,1.0249990220827536,1.0250000000000006
ML,0.4661139682566364,0.6682316497027143,0.7053285311800455,0.9151062100314517,0.9533240102552348,0.955007007137323,0.9666006905372536,0.9669706978022198,1.0207115424059598,1.0217722058153738,1.0231199598744716,1.0237499856592316,1.0237675446190286,1.0241283989092171,1.0248160703180151,1.0248676564487245,1.0249050623632852,1.024921061786359,1.0249654854395411,1.0250000000000001
Acomp,0.6447542499733796,0.6685178587623111,0.7716623826438375,0.7970929421458706,0.8046159957933909,0.8457835113743918,0.9062313448533647,1.0212541835315498,1.0229568043119135,1.0231681159183044,1.023909575947695,1.0241166537463402,1.0249134080908466,1.0249141805292454,1.0249220978188716,1.0249634423581044,1.024990565010937,1.0249906739202501,1.024999696449336,1.025
OCGParticip,0.5379872579321435,0.6505930042102742,0.7298520981987483,0.7463186220480722,0.9563749095134718,0.9565547413125999,0.9990342353209669,0.9990355965646491,1.0016085375315795,1.0083314694537444,1.0142755697530508,1.0238740858355675,1.024190782477072,1.0243988963661386,1.024820561052087,1.0249371366489388,1.0249642712651217,1.0249859600564883,1.0249886027860307,1.0249999999999988
