,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20
Italy,4.1776965044129195,-2.5117138631679006,5.916396553890767,-0.01975168458949765,-0.1448488930494632,-1.9530105684683892,-1.5004053654433158,-0.45142889046913987,-0.024614950166522206,0.04025100719943446,0.15776198710678718,-0.10411940315318172,-0.0985476608060763,-0.036475440913916926,0.00041611730435477866,-0.001879750230094545,0.05360972113623191,0.013929617378056112,0.043069512459679514,-0.01130980489359489
Cyprus,-2.0798134751533577,-0.13750827739349442,0.08265099437265706,-0.041394374916219744,-0.6122234937739017,-0.30359091842131564,0.09682804066063305,-0.3977432738528379,0.43508533655136683,0.035270857494698056,0.0179241746380141,0.2558919921509104,-0.05918957113231793,0.021364348195677882,0.05088952361810394,-0.10333735555783037,-0.0001596381983812913,-0.09831823501520151,0.02118257096850233,0.06500443522998338
Latvia,-2.096384298614178,0.5125953994564877,-0.3186138530668909,-0.2701445196233145,-0.01330516058587735,0.060976060645036835,0.22556813212624055,-0.22178120959583025,0.14288990025584536,0.018595828700927856,-0.2591670208636625,-0.32249930459091125,-0.07178611255079342,-0.12897780041607376,0.12821342996249013,-0.09490847164286197,0.08474810055924101,-0.024293892038995738,0.07367896035980045,-0.07420209855082749
Lithuania,-2.2303609794860315,0.2642634395296587,-0.47622968395578036,-0.24305941092476527,-0.19837597878893537,0.09187988709075896,-0.11441074867907361,-0.15896215591237076,-0.07580627552069466,-0.20391827824744063,0.07471786514987644,0.029169552106173193,0.01104408932864418,-0.09352224391596071,-0.009948049293621749,-0.20005994467546695,0.031750962865650496,0.03817506880517598,0.05910210872612459,0.0203615638745513
Luxembourg,-1.7053047972114865,0.20263571588916535,-0.5739797257491652,0.09672241120098535,-0.45012328114766287,-0.4384573860081022,-0.16477925369727117,0.5495486301283251,0.16293439131616946,-0.11758078620013596,0.20328699426784289,-0.17101045773755433,-0.0014557978852470614,-0.14900348536561886,0.42274449434082695,0.06782850970108327,-0.13565269119527218,0.09128980745167645,0.0004092969662659917,-0.048165267458852544
Hungary,-0.8242259094596542,-0.4946637872984485,-0.039060764505705184,-0.47014754257954655,1.3154201987355745,0.1947969149867593,-0.6691762480110065,0.0011271347901644808,0.2191120343708847,-0.12857048384907616,-0.1638144826806496,0.7296698801993362,0.28505992649124606,-0.07701495519765654,0.3752725434818989,-0.030557437336478716,0.08348605524079043,0.022452836003346906,-0.0864550414241203,0.0016407598755276193
Malta,-2.2568327057086894,0.3492895493167411,-0.6389309759856838,-0.22166290977348127,-0.3873727108773247,-0.26500138671766704,-0.050563134038278695,-0.09663685952058144,-0.08865112546650383,-0.020468388530086635,0.36055344622193763,-0.15127581790494332,-0.23388206290623725,0.06584292312357427,0.07982445703077794,-0.03735936471950964,-0.005803914139896495,0.023576904353985507,0.03315699208210036,0.03670733989438044
Netherlands,0.2839768728681677,-0.9538468427769056,0.8464802291946927,0.7366598801883889,0.13708798171286843,0.09082570816519689,0.018486629240561225,-0.78183346430644,-0.3638761087747314,0.029025476501903777,-0.3740496029421337,0.05643668533550741,0.39679289177681104,0.40317851323504994,0.07433700511470245,0.030641356761432117,-0.15361919550149075,0.05063231739609994,-0.05245416521621906,-0.006991956771741868
Austria,-0.41318580906367036,-0.04367288665475772,0.09548789940398113,0.7420568354153985,0.06315261845220835,-0.5298732269778037,-0.9017075029371289,1.8071282885253703,-0.782818972392675,-0.24887251952650957,-0.3801872103935947,-0.013856184770263364,-0.0931406845654604,0.033449869815486914,-0.05790068534698224,-0.0337147759393332,-0.001119006296531167,0.004450787751127247,0.028050616049329406,0.055064099989775045
Poland,1.5166975399063083,-1.992043994812642,-0.8497249157629323,-1.0502932982026874,4.373823786688393,1.2701831237731465,-0.7758306306499284,-0.00023013446364527718,0.2834839212034491,-0.1656746223655259,0.20851577229762064,-0.10096743708826293,-0.2136070165102029,0.06776634343251875,-0.16823418806527243,0.00645216200563298,-0.039414124959284,-0.00543548338846428,0.014294103335172968,0.006208560060359319
