,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20
Croatia,-0.5895801820386447,0.2672702644965946,-0.29499866291660215,-0.08127181427082082,-0.3152929573239626,-0.14413261124430013,-0.07509075922925403,-0.18084505086248787,-0.4062004005786505,-0.6152811928307016,0.0013988734562977072,0.2769987812874236,0.10162143475191303,-0.47637015511845593,-0.6899245823036599,-0.3531964469116623,0.7815725334289253,-0.22957940042147865,0.07726432527673273,1.5315612962731104
Italy,1.1707183002458577,-1.6743744681408606,4.511883409374258,-0.017605803484820014,-0.16413659468054526,-2.291802317939186,-2.297997333269398,-1.0188797713732556,-0.07198055474076648,0.15523990477021735,0.6534481136412927,-0.46823258461566303,-0.480385687841482,-0.22928030852137246,0.0027880619787203605,-0.01744215718495236,0.6551187175919183,0.1939820955555852,0.7569433918467605,-0.28073228266604583
Cyprus,-0.5828273293399842,-0.0916666313794627,0.06303019868285212,-0.0368971682820125,-0.6937455809010523,-0.35625530234017216,0.14830030893557336,-0.8977107679290923,1.2723033633086276,0.13603248563473871,0.0742416999214098,1.150765037434911,-0.2885286429821345,0.1342937665160367,0.3409691075809211,-0.9588648373918973,-0.0019508023840764676,-1.3691673462345173,0.3722820668551442,1.6135418477347274
Latvia,-0.5874709807529658,0.34170956410373376,-0.2429770460034403,-0.24079522450040006,-0.015076841142983178,0.07155367174212895,0.3454766145437668,-0.500562531328134,0.41784745521269223,0.07172030906833743,-1.0734664541640273,-1.450303001671998,-0.3499324161842779,-0.8107392023470344,0.8590534099369508,-0.8806534262241481,1.035634317433483,-0.33831367790112166,1.2949021007540185,-1.8418464952107105
Lithuania,-0.6250153432831778,0.17616495354031836,-0.36317592820558975,-0.21665272166977062,-0.22479120785353215,0.10781843252990073,-0.17522970886216763,-0.3587792640047438,-0.22167738418712127,-0.7864711046655286,0.3094804327258042,0.13117761302051184,0.05383610737512687,-0.5878697666539017,-0.06665374813236656,-1.8563514160425763,0.38800146007093367,0.5316211956024379,1.038715046666253,0.5054152886749198
Luxembourg,-0.4778785465827158,0.13508229340675632,-0.43772076099628177,0.08621420398176842,-0.5100605258252255,-0.5145172636515558,-0.25237332143408436,1.2403370596014405,0.47646279167519606,-0.453485050997006,0.8420121055030457,-0.7690465580652514,-0.007096510081946703,-0.9366182899890334,2.8324653626519845,0.629379110525687,-1.6576959404043183,1.2712903500306567,0.007193362920186496,-1.195559570316017
Hungary,-0.23097330184754586,-0.32975588020275115,-0.02978799911829236,-0.4190693308219269,1.490578129035025,0.22858863566937396,-1.0248998496230783,0.0025439551201877175,0.64074091873827,-0.495870067799739,-0.6785174721610076,3.281378912816943,1.38956833417903,-0.4841069016863094,2.514394617070556,-0.28354172626721064,1.020211937069571,0.31267536364325677,-1.5194407496274864,0.04072698596459313
Malta,-0.6324335303858618,0.23284559278051983,-0.48725301693804174,-0.1975807993319397,-0.4389542529252427,-0.3109715851732105,-0.07744170332753805,-0.2181104121010845,-0.2592390862586831,-0.07894238945293033,1.4934077189400234,-0.6802984368174944,-1.140093988472124,0.4138808291132176,0.5348384488950737,-0.3466566468965805,-0.07092468880187583,0.32832899778744273,0.5827316033251421,0.9111505827110997
Netherlands,0.0795790028218133,-0.6358593721531962,0.6455314595089542,0.6566269842443696,0.15534226058804165,0.10658138356348347,0.02831383149806173,-1.7646063824950562,-1.0640689495337403,0.11194532811911928,-1.5493086258184965,0.25379990896517163,1.9342278110680546,2.5343324600759076,0.49807151830325647,0.28432041259344365,-1.8772492790756654,0.7050992690440727,-0.9218779472469253,-0.17355453991474665
Austria,-0.11578729751234193,-0.029113493952096673,0.07281970794089115,0.6614375983827517,0.07156185677142571,-0.6217911512654993,-1.3810410738742545,4.078707624453073,-2.289167498338379,-0.9598504216252813,-1.5747305166362966,-0.06231227812886615,-0.4540285528344716,0.2102619263573695,-0.38794517235490317,-0.31283859524237007,-0.013674422370112455,0.061981109129163894,0.4929874345721482,1.3668025778088762
