,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20
BrgPRP,0.6397773499224964,-0.43028098781283297,0.5977126271554141,-0.10411779075151326,-0.06466787802458167,-0.05634903403117222,0.14004271953168612,0.006163762132496085,0.06548316934983495,0.13215096729408596,0.03571627169572516,0.10551251320407605,0.007691377471520878,0.007885703123108994,-0.033031795511639095,0.0005878645873325662,0.005211229913621425,0.003878810224150824,-0.00269906764176697,0.0035315456890687566
Th,0.9613517206882779,0.13304946012709162,0.08109233420288703,0.022442260340129992,-0.07780374719053212,-0.07951150515955266,-0.20092897501524795,-0.1286482351176271,-0.03800243190311415,0.029811908819036004,-0.02758263104887114,-0.011643940246736288,-0.017721639493508884,-0.010018360240900536,-0.021905078806265306,-0.0012161735445304902,-0.0036721503176494093,0.04685768402404352,0.00843364072878952,-0.017817347918927987
ThMV,0.5329881208086955,-0.44942036893550247,0.6504432358045802,-0.06267907435999018,-0.09040451972919517,-0.13410684698624545,-0.19793047116398269,-0.194990134037046,-0.01407348800220235,-0.06132218721149239,-0.010776146809736277,-0.04047489707191055,-0.02863780379754881,-0.0015834880259338023,0.034816887595288934,0.012010996132090107,-0.011548512628386675,-0.022599385328173276,-0.005760083846476845,0.00393346074801545
Drg,0.9376871927479279,-0.12390188629640296,-0.32071897682744366,0.013753908732595028,-0.07478434234855302,-0.02388400209396279,-0.04462098984927709,0.01083488976186695,0.02462838436358189,-0.014734678752668689,-0.06448124263945841,-0.011668284211224577,-0.06529316641210492,-0.061859874060148826,-0.07150478152904559,-0.00024100174605503607,0.004495139725739403,4.618351746090193e-05,-0.02322758818080804,0.01376363782491293
Frd,0.8942399605160773,-0.3603963356560684,-0.01832025798076704,-0.08900797296651448,-0.003818526791033599,-0.142248191217252,0.22120161415296702,0.002335674839007015,-0.08426586155371021,-0.07271818172371163,0.025934648957455845,-0.005981734984787181,-0.030197726849085654,-0.03460091614379127,0.0005606963971671968,-0.017544996822637982,0.04235835612051373,-0.002811272723594323,0.026236863857389575,-0.0013244121462380697
Crp,0.4006698053928421,-0.39932110590118564,0.025135389696844618,0.7174711390877309,0.26407614499862253,0.30826747857886905,0.030978292761588474,-0.0600661184927069,-0.1349495510187182,0.018574793322905413,0.02565893346023731,-0.00969112097980254,0.019702068722398672,0.017007821097680145,-0.0006195082010394526,-0.004796778062548333,0.008465847740758708,0.0053760326229379644,-0.01272642979097081,0.0022424605822662386
Br,0.452847687387781,-0.4659775501456892,-0.31853541718607686,-0.35266416058177885,0.5594889000607428,0.1265061157497985,-0.18082660809669984,-0.0460814581739775,0.07960643600685535,-0.042511183475371014,0.01712298422112133,0.06066210256440195,0.02400754282207012,-0.011488022718997617,8.432904863690421e-05,-0.01170708306890581,-0.01027273874534893,0.0009897351252773797,0.005772698004486981,-0.000988896984999308
ML,0.6827253974012073,-0.44957500091317115,-0.1926055073909651,0.4580149330004495,-0.19549373448728002,0.04102434499279831,0.10767396806995937,0.019235572904546163,0.23182071651114358,-0.03256782782768709,-0.0367117700349328,-0.025100314435481923,-0.004190341250659056,0.01899616514427093,0.026223489638069756,-0.007182348551086897,-0.0061160374885034,0.003999927883575614,0.006665107139600591,-0.005874909400074194
Acomp,0.802965908350647,-0.1541544964927443,0.3211612116702863,0.15946961937006393,0.08673553854977974,-0.20289779589980975,-0.24586141112214585,0.3391501712784251,-0.041262825646865876,-0.01453656102353303,-0.027229763667552087,-0.014390198005766698,0.02822683730966706,-0.0008788847471338722,0.002813767869972073,-0.00642997194651649,-0.005207941323845704,-0.00033001411060484706,0.00300375250077917,-0.0005509543210572243
OCGParticip,0.7334761468051593,0.33556779684309807,0.28152991668466437,-0.12832195388679182,0.45831898004053856,0.01341013792352787,0.20610554094532987,0.0011667234814846789,0.05072416551240952,0.08199348707162658,-0.07709799153873145,-0.09797201683397519,-0.017795972620354837,-0.01442615295449873,0.020534475545982697,0.010797017961073973,0.005209089765281866,-0.004657122648878688,-0.0016256474224947564,-0.003375976002303995
