,IH,AIH,A,Kd,SV,R,SA,SE,Rb,Brg,BrgPRP,Th,ThMV,Drg,Frd,Crp,Br,ML,Acomp,OCGParticip
Croatia,-0.38816528708472087,-0.4403244522438162,-0.3258490376063343,-0.32098808224717734,-0.44070280099640746,-0.3748112831436372,-0.4832073654530004,-0.5442898250167181,-0.47112644646381163,-0.5131575528050173,-0.693826370781373,-0.5105557786091016,-0.5196399908772016,-0.37327206805297675,-0.4759124308553121,-0.48324031738422674,-0.4283155900282377,-0.579266986527606,-0.6425994224973476,-0.6888747355497472
Italy,0.37214550103606436,0.8648756126873173,0.7005479595388742,-0.15454981737827056,-0.036870060058767445,-5.321732174719789e-17,0.0,0.015835811145251216,1.1617153676280754,0.0,3.965013242261764,2.079619517134841,5.288002146530655,0.002578745727149978,1.4698887235357845,0.49558610050148777,-0.08000648515678978,0.3133340938456081,3.2899668025806874,1.0070616803764199
Cyprus,-0.4657480205664336,-0.5966765433553582,-0.3374289598632605,-0.3195532696189971,-0.4935878846083242,-0.43894160135355137,-0.5223253111731574,-0.5952339664031431,-0.5167048394202739,-0.6429852132337678,-1.5949372120800903e-16,-0.552257220694888,0.0,-0.5008418698104651,-0.4915727326999984,-0.6422390393489545,-0.47836000164769865,0.0,-0.8418135751978271,-0.7716033412046821
Latvia,-0.22368989210348975,-0.5898786263505086,-0.32865340098651247,-0.3052051433371948,-0.4675190889763016,-0.3982165087676935,-0.5055179808827478,-0.579638821080768,-0.4873339255476078,-0.5957971089782286,-0.7992208565976803,-0.5005314339744467,-0.5170353815410177,-0.4836344258219102,-0.48128246807646835,-0.5910565936117373,-0.36826229608488464,-0.38771751721004266,-0.88100704645089,-1.679491708219314e-16
Lithuania,-0.20507003606787869,-0.6051739396114203,-0.33716187763657685,-0.32098808224717734,-0.48461797643386484,-0.4286433020789666,-0.5145909644908451,-0.5125796961945555,-0.48371398098066853,-0.637318132818227,-0.7820789081974406,-0.5146438250770773,-0.5274538188857533,-0.4689265573994518,-0.4746598835137795,-0.4793032061736716,-0.17609175546615474,-0.5491246842492078,-0.7754861623080284,-0.742057410613634
Luxembourg,-0.5060910419769242,-0.4607182032583652,-0.3307519041961696,-0.2621607644917879,-0.46938781984598066,-0.42115362987926863,0.0,0.0,-0.4842898812526816,-0.6089827307405236,-0.788567420635383,-0.515439541639845,-0.5456282040315695,-0.4433363904758171,-0.48305402674736525,-0.6446618770169885,-0.48436533104203394,0.0,-2.10924582536984e-16,-0.6652379910769086
Hungary,-0.27334284153178595,-0.4675161202632148,0.0,-0.306639955965375,-0.449298962996931,-0.3275327273830435,0.0,-0.5414307150409493,-0.47310096168214216,0.0,-1.5949372120800903e-16,-0.3420533236268272,0.0,-0.4146065127801343,-0.38633799555808734,0.07370949155507676,1.5374288983841868,-0.4431404601090331,0.11529563108259099,-1.679491708219314e-16
Malta,-0.4936778046198502,-0.6170702943699072,-0.3365323266736797,-0.3224228948753576,-0.488075128542771,-0.44151617617219757,-0.5119136906392754,0.0,-0.512591266048752,-0.6403448689492545,-0.8084275296515174,-0.5351429993845678,-0.5470173290108676,-0.5111754809922544,-0.4876490070500041,-0.6413304752234418,-0.48836888397159084,-0.5384290286020341,-0.807954126659678,-0.7716033412046821
Netherlands,-0.13679723060397145,0.0,-0.24053534348281896,0.4236796717783625,-0.12171044154219575,0.035482322046069235,-0.23184109827784713,-0.5195975115896243,0.0770483410251914,0.14530245263588823,0.5489868088861296,0.30763030424051646,1.0033040280932441,-0.31818995771228825,0.0,1.1361238089879624,0.0,0.32014042016653677,-2.10924582536984e-16,-1.679491708219314e-16
Austria,-0.3447189563349617,-0.3978374709635059,-0.2723181284581715,-0.31811845699081687,-0.10947025434579805,-0.051351065019179534,-0.20506835976215032,-0.13959580390108642,-0.34730788798100365,0.12279512757643969,-0.5498515407394625,-0.19767497396020708,-0.38049597211751207,0.10788098710618062,-0.11673583048202289,0.22574255522420694,-0.452336907605579,-0.33326690664261344,2.0364714645759237,-0.493871593648829
Poland,0.2976660768936201,-0.06473953772587288,-0.2374448205740512,4.0779827605212826e-17,-0.2217809796135082,-0.31255338298364754,-0.46907730901416045,1.061750224099202,-0.08807049410769606,0.542432772551065,-0.03497931052868394,-0.13963818656469318,0.08150384391403613,0.5005734533286041,0.46301366472004735,1.6267484367648368,4.580129124847411,-0.2739546344173781,0.5359876834675386,1.8048018063347215
Portugal,-0.2609296041747119,0.0,-0.32903494702463193,0.04201951268242107,-0.2689664340729039,-0.37176860381250987,-0.20744815874132339,-0.5081610716865492,0.2153466777757563,-0.34898931701732294,-0.43380361896085806,-0.2800884751039999,-0.057698055053124156,-0.453288968796921,-0.23719489995195422,-0.5995365254498563,-0.4273147017958485,-0.56662666621731,-0.49440635663517474,-0.756830375909158
Romania,0.28214953019727756,-0.054542662218598395,-0.3356547707860049,0.14819564716775815,-0.3175534366845589,-0.07218171582458961,-0.4751755438982914,-0.4096517370668804,-0.2064591357400952,-0.24260276194376357,-0.1668101003995807,-0.18469090052329995,-0.4629752677633347,-0.41299093345082794,-0.41560331438317727,0.3877698242739771,0.19023333758829916,-0.47279659622165077,-0.6031740372132014,0.6731926646975752
Slovenia,-0.47816125792350767,-0.5660859168335348,-0.3124949262721526,-0.31811845699081687,-0.4611654040193929,-0.43472866074122124,-0.5162270762890265,0.0,-0.5021427896850865,-0.5237028302827991,-0.7185090228257078,-0.48643167329344733,-0.5256595324541599,-0.49287066236492544,-0.4698780591325695,-0.5516854815061858,-0.191105078951993,0.0,-0.8306817017058329,-0.7686487481455774
Slovakia,-0.3167891722815451,0.0,-0.3157762221999801,-0.24781263820998556,-0.4383668874093086,-0.42396225695415535,-0.5138472773098535,-0.6321424769994306,-0.4963837869649559,-0.5970528824793996,-0.7940475831674288,-0.5062488048328513,-0.5034914129928616,-0.49067591308737724,-0.479531669858746,-0.6065021837454538,-0.4233111488662917,-0.5520416812438914,-0.8677879466791469,-0.742057410613634
Finland,-0.21748327342495274,0.027032341839597452,-0.30656188537939466,-0.31811845699081687,-0.11685174128103025,-0.09020373955511295,-0.14423474835703926,-0.4106914134217054,-0.35899043635612576,-0.5316077634760674,-0.6286343573001547,0.013240436859746487,-0.1860763552232537,0.04805882797856515,-0.16710068988353724,0.5776597265061377,-0.22213261415605878,-0.30069377353531207,-0.5124956510596653,-0.7627395620273677
Sweden,-0.12748730258616592,1.2200667761907116,-0.23910454583987092,4.0779827605212826e-17,1.4792312945118358,1.633825179912872,1.1978231384603621,0.6497784684997956,0.20185415711716462,0.6493023174327671,0.8847673275496475,0.7550966716512821,0.6766860173357864,1.4104037180733189,1.4371425687284245,5.34762138544797,-0.3372347608808189,3.933327364248088,1.193232047557363,-1.679491708219314e-16
Iceland,-0.5029877326376557,-0.6153708151186948,-0.33750526907088435,4.0779827605212826e-17,-0.4478039783011878,-0.40851480804227824,-0.5154833891080349,0.0,-0.5169516538225651,-0.6399745767630117,-0.8187302352117637,-0.5396689004690928,-0.5586512507124889,-0.48736854785662753,-0.4886039878960345,-1.3772237639579697e-16,0.0,-0.4494606202641811,-2.10924582536984e-16,-1.679491708219314e-16
Liechtenstein,-0.5091943513161927,0.0,-0.33838282495855915,-0.3224228948753576,-0.4953631789345193,-0.4447929077595654,0.0,0.0,-0.5227929280101262,-0.6560742370344341,-1.5949372120800903e-16,-0.5538570741015107,-0.5599824954843162,-0.4976107111518524,-0.4920433029719554,-0.6431476034744672,0.0,-0.5612788383937232,-2.10924582536984e-16,-1.679491708219314e-16
Norway,-0.41609507113813743,-0.4760135165192769,-0.3059514117184035,4.0779827605212826e-17,-0.023602070884046276,0.07737767591312995,-0.16728905096777816,-0.31062256426979906,-0.4443059480814891,0.0,-1.5949372120800903e-16,-0.19015987308962368,-0.32527825419041395,-0.12054059221753226,-0.3617922197546838,-0.63406196221934,0.0,-0.513148387981442,-2.10924582536984e-16,-1.679491708219314e-16
Switzerland,-0.36644212170984125,-0.2737754856249997,-0.3272416806454704,-0.31381401910627615,-0.22458407591802676,-0.27861580582876594,-0.4210351171221045,-0.20405573790023648,-0.36277492385792587,-0.12864936654263567,-0.02884152849279251,-0.043634351745694015,0.008053860633650933,0.531818147904811,-0.348034959451,-0.6398162016809206,-0.4693520075561957,0.9030536529374975,-2.10924582536984e-16,-0.6475104327222797
England and Wales,0.0,0.0,0.0,4.0779827605212826e-17,0.0,-5.321732174719789e-17,0.0,0.0,7.482546373506666e-17,0.0,-1.5949372120800903e-16,0.0,0.0,-1.1089515775833536e-16,0.0,-1.3772237639579697e-16,0.0,0.0,-2.10924582536984e-16,-1.679491708219314e-16
Scotland,0.0,0.0,0.0,4.0779827605212826e-17,0.0,-5.321732174719789e-17,0.0,0.0,7.482546373506666e-17,0.0,-1.5949372120800903e-16,0.0,0.0,-1.1089515775833536e-16,0.0,-1.3772237639579697e-16,0.0,0.0,-2.10924582536984e-16,-1.679491708219314e-16
Northern Ireland (UK),0.0,0.0,0.0,4.0779827605212826e-17,0.0,-5.321732174719789e-17,0.0,0.0,7.482546373506666e-17,0.0,-1.5949372120800903e-16,0.0,0.0,-1.1089515775833536e-16,0.0,-1.3772237639579697e-16,0.0,0.0,-2.10924582536984e-16,-1.679491708219314e-16
Bosnia and Herzegovina,-0.3819586684061838,-0.5100031015435251,-0.3278139997026496,-0.32098808224717734,-0.4782642914769561,-0.441282123915957,-0.5009071203606,-0.6342218297090806,-0.4803408508160206,-0.5816777069201912,-0.8116717858704886,-0.5389700171388313,-0.542965714487915,-0.4564896448266788,-0.4895036075335993,-0.37269834878017793,-0.15006866142403505,-0.5680851647146519,-0.8675560326480637,-0.511599152003458
Montenegro,-0.4626447112271651,-0.5609874790798975,-0.3375625009766023,4.0779827605212826e-17,-0.49386819423877604,-0.44338859422212207,-0.5205404619387777,0.0,-0.519172983443187,-0.6499563661312937,-1.5949372120800903e-16,-0.5530697778198306,-0.5584197298826059,-0.5094532124619562,-0.49285988079682197,-0.5995365254498563,-0.48336444280964475,-0.5700298293777744,-0.88100704645089,-0.44364351164404703
North Macedonia,0.0,0.0,0.0,4.0779827605212826e-17,0.0,-5.321732174719789e-17,0.0,0.0,7.482546373506666e-17,0.0,-1.5949372120800903e-16,0.0,0.0,-1.1089515775833536e-16,0.0,-1.3772237639579697e-16,0.0,0.0,-2.10924582536984e-16,-1.679491708219314e-16
Albania,-0.3509255750134987,-0.43012757673654173,-0.3371237230327649,-0.3152488317344564,-0.48284268210766973,-0.43028166787265054,-0.5107237911496888,-0.6129084644351681,-0.5163757535505521,0.0,-0.7965465372820418,-0.5411045583945095,-0.5488116154424609,-0.4817445028329103,-0.48773896901376057,-0.3896582124564156,-0.3282267667893159,-0.3867451848784814,-0.8573518152804024,-0.7272844453181099
Serbia,-0.27644615087105445,-0.4131327842244176,-0.22945143107544813,-0.31668364436263663,-0.45098082077964213,-0.42372820469791483,-0.46416897361961607,-0.6100493544593993,-0.4535203524336981,-0.5040934440722065,-0.6722564510552403,-0.490305002593692,-0.5191769492174356,-0.34960230674719667,-0.48468026224604016,-0.4202465380153441,-0.30920989037392077,-0.5340535331100086,-2.10924582536984e-16,-1.679491708219314e-16
Turkey,5.563982025632284,0.0,0.0,4.0779827605212826e-17,0.0,-5.321732174719789e-17,0.6315797188533748,0.0,0.40383060965888795,0.8850496427872057,1.7245912752606212,0.2796749710300549,1.3212978879375594,-1.1089515775833536e-16,0.0,-1.3772237639579697e-16,0.0,0.0,-2.10924582536984e-16,-1.679491708219314e-16
Kosovo*,-0.425404999155943,-0.42842809748532934,-0.33479629220023605,-0.30090070545265407,0.0,-0.4314519291538534,-0.5142934896184483,0.0,-0.5093826788189649,-0.5952175212084574,-1.5949372120800903e-16,-0.5366333891370533,-0.5536156726625334,-0.49524830741560266,-0.4900226188629636,-1.3772237639579697e-16,-0.44933424290841134,-0.5875318113458765,-2.10924582536984e-16,-0.756830375909158
